MONSTRE : [81]Raider
	- ID : Raider
	- agilite : 29
	- IDnum : 22535
	- agressivite : 50
	- arme : 0
	- bouclier : 0
	- CA : 4618441417868443648
	- chance : 0
	- endurance : 29
	- esquive : 74
	- force : 31
	- ID : Raider
	- id_clan : 11
	- IDnum : 22535
	- intelligence : 34
	- niveau : 16
	- or_max : 88
	- or_min : 28
	- puissance_air : 100
	- puissance_eau : 100
	- puissance_feu : 100
	- puissance_lumiere : 100
	- puissance_necromancie : 100
	- puissance_terre : 100
	- resistance_air : 86
	- resistance_eau : 86
	- resistance_feu : 86
	- resistance_lumiere : 5000
	- illimite : 57
	- resistance_necromancie : 86
	- sagesse : 29
	- non_cach : 20042
	- vet_apparence : 0
	- non_jet : 0
	- vet_dos : 0
	- vet_main : 0
	- vet_pied : 0
	- vet_tete : 0
	- vitesse : 0
	- volonte : 0
	- xp_coup : 4613374868287651840
	- xp_down : 4645334768596402831
	- can_attack : true
	- nb_types_attaques : 1
		- Attaque 0
			- degats : 1d18+13
			- distance_max : 0
			- distance_min : 0
			- id_sort : 0
			- lvl : 212
			- succes : 100
	- nb_flags : 0
	- nb_drops : 4
		- drop 0
			- id : 40031
			- Chance : 4603579539098121011
		- drop 1
			- id : 40022
			- Chance : 4607182418800017408
		- drop 2
			- id : 40095
			- Chance : 4620693217682128896
		- drop 3
			- id : 40366
			- Chance : 4611686018427387904
